CMDLINE ocean sail
MEM 0.218750 1742374199.1762
MEM 30.328125 1742374199.2789
MEM 46.203125 1742374199.3840
MEM 57.984375 1742374199.4891
MEM 70.390625 1742374199.5931
MEM 75.421875 1742374199.6933
MEM 75.421875 1742374199.7953
MEM 75.421875 1742374199.8959
MEM 75.609375 1742374199.9993
MEM 75.609375 1742374200.1014
MEM 75.968750 1742374200.2019
MEM 75.968750 1742374200.3039
MEM 75.968750 1742374200.4053
MEM 76.000000 1742374200.5066
MEM 76.000000 1742374200.6079
MEM 76.000000 1742374200.7130
MEM 76.000000 1742374200.8181
MEM 76.000000 1742374200.9232
MEM 76.000000 1742374201.0240
MEM 76.000000 1742374201.1256
MEM 76.296875 1742374201.2275
MEM 77.453125 1742374201.3328
MEM 77.453125 1742374201.4372
MEM 77.468750 1742374201.5413
MEM 77.468750 1742374201.6452
MEM 77.468750 1742374201.7462
MEM 77.562500 1742374201.8517
MEM 77.562500 1742374201.9553
MEM 77.562500 1742374202.0605
MEM 77.671875 1742374202.1659
MEM 77.671875 1742374202.2698
MEM 77.671875 1742374202.3706
MEM 77.718750 1742374202.4758
MEM 77.718750 1742374202.5760
MEM 77.718750 1742374202.6805
MEM 77.718750 1742374202.7834
MEM 77.718750 1742374202.8885
MEM 77.734375 1742374202.9936
MEM 77.734375 1742374203.0988
MEM 77.734375 1742374203.1999
MEM 77.796875 1742374203.3051
MEM 77.796875 1742374203.4101
MEM 77.796875 1742374203.5152
MEM 78.828125 1742374203.6204
MEM 78.828125 1742374203.7255
MEM 78.875000 1742374203.8306
MEM 78.890625 1742374203.9333
MEM 78.890625 1742374204.0371
MEM 78.890625 1742374204.1422
MEM 79.015625 1742374204.2472
MEM 79.015625 1742374204.3504
MEM 79.015625 1742374204.4507
MEM 79.015625 1742374204.5536
MEM 79.015625 1742374204.6560
MEM 78.968750 1742374204.7610
MEM 78.968750 1742374204.8614
MEM 78.968750 1742374204.9664
MEM 78.953125 1742374205.0715
MEM 79.515625 1742374205.1741
MEM 79.515625 1742374205.2778
MEM 79.515625 1742374205.3829
MEM 79.515625 1742374205.4834
MEM 79.515625 1742374205.5885
MEM 79.531250 1742374205.6890
MEM 79.531250 1742374205.7931
MEM 79.531250 1742374205.8960
MEM 79.984375 1742374205.9964
MEM 79.984375 1742374206.0975
MEM 79.984375 1742374206.2000
MEM 79.984375 1742374206.3050
MEM 79.984375 1742374206.4061
MEM 79.984375 1742374206.5067
MEM 79.984375 1742374206.6118
MEM 79.984375 1742374206.7169
MEM 79.984375 1742374206.8219
MEM 79.984375 1742374206.9227
MEM 79.984375 1742374207.0277
MEM 79.984375 1742374207.1328
MEM 79.984375 1742374207.2333
MEM 79.984375 1742374207.3366
MEM 79.984375 1742374207.4373
MEM 79.984375 1742374207.5425
MEM 79.984375 1742374207.6426
MEM 79.984375 1742374207.7463
MEM 79.984375 1742374207.8466
MEM 79.984375 1742374207.9467
MEM 79.984375 1742374208.0517
MEM 79.984375 1742374208.1542
MEM 80.015625 1742374208.2593
MEM 80.015625 1742374208.3644
MEM 80.015625 1742374208.4684
MEM 80.015625 1742374208.5736
MEM 80.015625 1742374208.6786
MEM 80.015625 1742374208.7837
MEM 80.015625 1742374208.8887
MEM 80.015625 1742374208.9938
MEM 80.015625 1742374209.0989
MEM 80.015625 1742374209.2006
MEM 81.343750 1742374209.3013
MEM 82.296875 1742374209.4064
MEM 82.312500 1742374209.5115
MEM 82.312500 1742374209.6165
MEM 83.437500 1742374209.7217
MEM 83.437500 1742374209.8253
MEM 83.437500 1742374209.9304
MEM 83.437500 1742374210.0329
MEM 84.734375 1742374210.1381
MEM 84.734375 1742374210.2389
MEM 84.734375 1742374210.3440
MEM 84.734375 1742374210.4491
MEM 85.250000 1742374210.5518
MEM 85.187500 1742374210.6569
MEM 85.187500 1742374210.7620
MEM 85.203125 1742374210.8672
MEM 85.296875 1742374210.9691
MEM 85.296875 1742374211.0741
MEM 85.296875 1742374211.1761
MEM 85.312500 1742374211.2763
MEM 85.312500 1742374211.3792
MEM 85.312500 1742374211.4828
MEM 85.265625 1742374211.5879
MEM 85.265625 1742374211.6931
MEM 85.265625 1742374211.7984
MEM 85.265625 1742374211.9038
MEM 85.265625 1742374212.0091
MEM 85.265625 1742374212.1121
MEM 85.265625 1742374212.2174
MEM 85.265625 1742374212.3229
MEM 85.265625 1742374212.4249
MEM 85.265625 1742374212.5285
MEM 85.265625 1742374212.6293
MEM 85.265625 1742374212.7312
MEM 85.265625 1742374212.8366
MEM 85.265625 1742374212.9420
MEM 85.265625 1742374213.0478
MEM 85.265625 1742374213.1533
MEM 85.265625 1742374213.2540
MEM 85.265625 1742374213.3574
MEM 85.265625 1742374213.4608
MEM 85.250000 1742374213.5659
MEM 86.500000 1742374213.6697
MEM 86.500000 1742374213.7749
MEM 86.500000 1742374213.8800
MEM 86.531250 1742374213.9838
MEM 86.531250 1742374214.0875
MEM 86.531250 1742374214.1926
MEM 86.531250 1742374214.2978
MEM 86.531250 1742374214.4033
MEM 86.671875 1742374214.5088
